Repository,IssueTotalCount,DaysOpen,AverageIssueCountPerDay
rsbc-dmf,1,460,0
EDUC-curricdrpl,2,460,0
devops-credential-issuer,7,459,0.02
moh-iam,3,456,0.01
GDX-Analytics-Looker-CMSLite-Metadata,2,456,0
family-law-act-app,1,455,0
wps,690,454,1.52
hosted-application-logging-performance-aggregation-services,2,452,0
common-components-wiki,2,452,0
common-logging,2,449,0
cas-helm,2,448,0
openshift-launchpad,2,448,0
gwater-report,6,447,0.01
wps-api,47,447,0.1
wps-web,5,447,0.01
cap-eagle-traffic-runner,2,446,0
cas-airflow,2,446,0
moh-middleware-test,2,446,0
bcstats_ohcs_craigslist,17,445,0.04
jag-instrumentation,2,445,0
business-schemas,2,445,0
EDUC-SERVICES-CARD-API,2,442,0
aries-vcr-api-draft,1,435,0
healthgateproxy,2,434,0
EDUC-PEN-DEMOG-API,3,434,0.01
business-filings-ui,2,433,0
RSBC-DataHub-API,3,432,0.01
jag-justin-courtlist-api,2,432,0
jag-ecrc,2,432,0
Wetland_SkeenaESI_Monitoring,3,427,0.01
bcsc-sample-client,2,427,0
cloud-adoption-patterns-II,3,426,0.01
cloud-pathfinder,780,426,1.83
cloud-pathfinder-business-process,207,426,0.48
python_beginning,2,425,0
intro-to-r,2,425,0
dipr,6,424,0.01
metadata-curator,2,421,0
nr-team-zero,2,419,0
citz-imb-sp-collectionnavigation,2,418,0
openshift-launchpad-fe-vue,2,418,0
openshift-launchpad-be-node,2,418,0
openshift-launchpad-fe-react,2,417,0
openshift-launchpad-be-python,2,417,0
citz-imb-sp-peoplepicker,2,414,0
elucidate,2,413,0
EDUC-HUB,2,412,0
EDUC-PROMETHEUS-GRAFANA,2,411,0
openshift-launchpad-deployment,2,411,0
helm-charts,2,408,0
EDUC-REPORT-API,2,407,0
workbc-sdd-map,1,405,0
a2a-trust-over-ip-configurations,2,404,0
citz-imb-sp-batchrestapi,2,404,0
common-components-catalogue,2,403,0
foi-report-download,2,403,0
common-services-team-library,3,401,0.01
zeebe-camunda,1,400,0
bcgov-python-presentations,2,400,0
cloud-guardrails,0,400,0
CC_Biodiversity_Refugia,2,400,0
GDX-Analytics-Looker-FOI,2,399,0.01
platform-services-status,5,399,0.01
cas-shelf,2,393,0.01
citz-imb-sp-utilities,6,393,0.02
HADF-Overview,8,392,0.02
bctw-api,3,391,0.01
openshift-notifications,3,390,0.01
bctw-ui,3,390,0.01
gdx-covid-19-dashboard,2,390,0.01
covid19,27,388,0.07
epr,24,387,0.06
EDUC-RULE-ENGINE-API,2,386,0.01
cascade_border_data,3,385,0.01
spa-text-service,2,385,0.01
common-hosted-form-service,2,384,0.01
EDUC-LOAD-TEST,2,384,0.01
InvasivesBC-iOS,6,383,0.02
enhanced-travel-screening,4,379,0.01
bctw-db,3,379,0.01
ts-rs-modis-snow-perc-norm,3,379,0.01
bcrs-charts,2,378,0.01
essential-services-delivery,9,377,0.02
vc-visual-verifier,3,374,0.01
dts-esr-demo,2,373,0.01
dts-safe-entry-demo,2,372,0.01
namex-synonyms-api-py-client,3,371,0.01
EDUC-STUDENT-PROFILE-API,2,370,0.01
forum-api,2,370,0.01
ds-intro-to-r-2-day,10,370,0.03
Foreign-Farm-Workers-Permitting-System,0,368,0
EDUC-STUDENT-PROFILE-EMAIL-API,3,368,0.01
test-123,2,368,0.01
silviculture-ipc,1,366,0
secure-image-app,7,366,0.02
EDUC-STUDENT-PROFILE,2,365,0.01
platform-services-registry,231,364,0.63
supreme-court-viewer,2,362,0.01
EDUC-STUDENT-PROFILE-SAGA-API,3,362,0.01
bowron-ssn-openstars,4,357,0.01
servicescard-selfservice,4,357,0.01
jag-pcss,2,356,0.01
indy-tails-server,10,356,0.03
moh-eRx,2,354,0.01
jag-bcsc-auth-service,3,354,0.01
forms-flow-ai,0,354,0
supreme-court-viewer-configurations,2,353,0.01
sdpr-orbeon,1,352,0
data-publication,5,352,0.01
platform-ops-argo-poc,8,350,0.02
dormant-site-reclamation-program,2,349,0.01
CITZ-IMB-playbook,8,348,0.02
CITZ-IMB-Capstone2020,2,348,0.01
moh-fpincome,2,348,0.01
common-forms-toolkit,2,342,0.01
service-analytics-guide,2,342,0.01
moh-keycloak-user-management,6,336,0.02
sae-docs-bridge,2,335,0.01
nr-dell-objectstore_admin,1,334,0
site-status-checker,2,334,0.01
jag-vips-client,2,334,0.01
EDUC-SERVICES-CARD-SAGA-API,1,334,0
startup-sample-project,3,330,0.01
STUDENTSUCCESS-V2.0,2,330,0.01
Wetlands_OperationalFactors_SkeenaEastESI,1,328,0
violation-dispute-form,2,328,0.01
embc-eaf,2,328,0.01
s2i-caddy-nodejs,2,327,0.01
containerization-and-cloud-economic-model,4,324,0.01
semantic_infer,2,323,0.01
jag-rsbc-digital-forms-vips-integration,2,322,0.01
jag-file-submission,16,320,0.05
cas-notebooks,2,316,0.01
bcregistry,2,316,0.01
IRIS,14,315,0.04
Protected-Area-Wetland-Assessment-By-Assessment-Area,1,315,0
community-air-quality-reports,2,315,0.01
EDUC-EDNET,3,312,0.01
figma,13,309,0.04
labour-force-survey-digest,10,303,0.03
nr-mals,2,301,0.01
cloud-iac,2,299,0.01
mobile-signing-service,17,298,0.06
nr-alm-ops,1,295,0
namex-payment-api-py-client,3,294,0.01
bcwebmaps-options,7,289,0.02
moh-plr-fhir,3,280,0.01
CIT,3,278,0.01
moh-hnclient-v2-PoC,3,278,0.01
react-shared-components,15,273,0.05
EDUC-PEN-REG-BATCH-API,3,272,0.01
spring-boot-starters,4,272,0.01
Digital-Support-Team-Guidelines,4,271,0.01
tutorials,0,268,0
EDUC-PEN-MATCH-API,3,266,0.01
smk-tradebc,3,263,0.01
epi.branch.sim,8,257,0.03
Watershed_SkeenaESI_Monitoring,3,256,0.01
workbc-small-grants,3,253,0.01
bcdc-smk,3,253,0.01
CE_RipDist_AddingFireInsect,1,252,0
orgbook-api,2,252,0.01
Technology-Code-of-Practice,0,251,0
jag-isb-splunk-chatops,3,246,0.01
EDUC-forms,3,245,0.01
business-edit-ui,2,244,0.01
vue-shared-components,4,243,0.02
smk-cli,43,243,0.18
gwa-cli,6,242,0.02
api-serv-gw,3,240,0.01
bcrs-shared-components,3,239,0.01
citz-imb-sp-projectIntakeForm,3,237,0.01
agri-nmp-msa,3,237,0.01
workbc-wage-subsidy,3,232,0.01
hcap,0,230,0
EDUC-PEN-DEMOG-MIGRATION-API,3,228,0.01
entity-selection-tool,3,222,0.01
moh-iam-kong-keycloak,0,222,0
sheriff-scheduling,3,222,0.01
biohubbc,6,217,0.03
biohubbc-common-codes,4,217,0.02
jason-test-123,3,217,0.01
MD10A1_MSLP_LDA,3,217,0.01
bcmoh-iam-integration-guide,3,217,0.01
sheriff-scheduling-configurations,3,216,0.01
ensemble-app-CMIP5,1,215,0
parks-adventure-mobile,3,215,0.01
invasivesbc,389,215,1.81
GDX-Analytics-Looker-DES-Reporting,3,214,0.01
moh-iam-kong-plugin,3,212,0.01
Interactive_topic_modeling,3,208,0.01
GCS_update,4,205,0.02
